x,y,z;;
-0,292143836;-0,05;0,079471432
-0,296163892;-0,05;0,080469679
-0,298813628;-0,05;0,081704046
-0,301690834;-0,05;0,083153215
-0,30752945;-0,05;0,084584672
-0,31054459;-0,05;0,085510405
-0,313262272;-0,05;0,08612386
-0,316302677;-0,05;0,085887393
-0,317955739;-0,05;0,086494286
-0,320045809;-0,05;0,08721744
-0,32404646;-0,05;0,087454038
-0,325482652;-0,05;0,087818364
-0,327158665;-0,05;0,088517649
-0,330331781;-0,05;0,089355971
-0,333397558;-0,05;0,089946805
-0,335296286;-0,05;0,09093407
-0,338940509;-0,05;0,091593451
-0,340328691;-0,05;0,091806142
-0,341349542;-0,05;0,092955197
-0,344058947;-0,05;0,092512963
-0,344510364;-0,05;0,094413701
-0,345926196;-0,05;0,094560338
-0,349828943;-0,05;0,095586794
-0,351620485;-0,05;0,094470483
-0,35442801;-0,05;0,095196639
-0,356710537;-0,05;0,095874594
-0,35642521;-0,05;0,095845587
-0,356539456;-0,05;0,09516809
-0,357307556;-0,05;0,093393406
-0,355548155;-0,05;0,092719137
-0,355515412;-0,05;0,091989724
-0,355245412;-0,05;0,089745408
-0,355148695;-0,05;0,089031669
-0,357113566;-0,05;0,085676027
-0,358245492;-0,05;0,084097484
-0,35827434;-0,05;0,083176362
-0,358274902;-0,05;0,082554226
-0,358496554;-0,05;0,082350662
-0,358431474;-0,05;0,082050011
-0,358033477;-0,05;0,081999039
-0,358500321;-0,05;0,081352946
-0,35730836;-0,05;0,082503259
-0,357411056;-0,05;0,081533636
-0,356986788;-0,05;0,079518968
-0,356634773;-0,05;0,079011176
-0,356456203;-0,05;0,077605094
-0,356678313;-0,05;0,077234053
-0,356578843;-0,05;0,077759597
-0,356281995;-0,05;0,077270745
-0,355804149;-0,05;0,077687213
-0,354621401;-0,05;0,078150483
-0,353425523;-0,05;0,077905117
-0,350502296;-0,05;0,079340138
-0,349764042;-0,05;0,079250618
-0,348539387;-0,05;0,078881147
-0,347488577;-0,05;0,077779536
-0,347081977;-0,05;0,078438095
-0,345593856;-0,05;0,080094483
-0,34520325;-0,05;0,080071426
-0,344313505;-0,05;0,082022716
-0,343690434;-0,05;0,082033188
-0,343415378;-0,05;0,081643712
-0,343492742;-0,05;0,08125831
-0,343654355;-0,05;0,080170244
-0,344217225;-0,05;0,076528128
-0,345988394;-0,05;0,07264398
-0,345809935;-0,05;0,069971817
-0,346941171;-0,05;0,064032982
-0,346662414;-0,05;0,063277118
-0,34703385;-0,05;0,060245896
-0,346245925;-0,05;0,055319288
-0,34527717;-0,05;0,054364871
-0,344192488;-0,05;0,051086073
-0,341785513;-0,05;0,046558045
-0,339624009;-0,05;0,04505696
-0,337396767;-0,05;0,042488545
-0,333646949;-0,05;0,036945701
-0,332071691;-0,05;0,033781832
-0,329884036;-0,05;0,03184754
-0,326446731;-0,05;0,026489107
-0,323911581;-0,05;0,023879481
-0,321441975;-0,05;0,020835434
-0,317320974;-0,05;0,015118793
-0,315002944;-0,05;0,011325859
-0,312290885;-0,05;0,007233225
-0,308258921;-0,05;-0,000615473
-0,306626998;-0,05;-0,003708325
-0,305008872;-0,05;-0,009481731
-0,303599648;-0,05;-0,017817195
-0,302268457;-0,05;-0,0210457
-0,300959544;-0,05;-0,026967736
-0,300539035;-0,05;-0,036500916
-0,301012908;-0,05;-0,041219699
-0,301693426;-0,05;-0,045453089
-0,303801464;-0,05;-0,054176805
-0,305575546;-0,05;-0,060701203
-0,307118018;-0,05;-0,065421815
-0,310360986;-0,05;-0,074835565
-0,313773762;-0,05;-0,080207026
-0,316307746;-0,05;-0,083718966
-0,321548713;-0,05;-0,092122298
-0,325018667;-0,05;-0,09698113
-0,328154026;-0,05;-0,101813075
-0,334361688;-0,05;-0,108746548
-0,340415208;-0,05;-0,113916775
-0,346402006;-0,05;-0,1164883
-0,354990524;-0,05;-0,119897918
-0,360998967;-0,05;-0,120656255
-0,366585233;-0,05;-0,122116571
-0,374831173;-0,05;-0,122451555
-0,380934791;-0,05;-0,122942085
-0,385700541;-0,05;-0,123151561
-0,392493858;-0,05;-0,123260198
-0,397240351;-0,05;-0,123696783
-0,401682819;-0,05;-0,123176135
-0,411731274;-0,05;-0,122156284
-0,418131947;-0,05;-0,121063396
-0,423603904;-0,05;-0,120886466
-0,431563893;-0,05;-0,119990049
-0,436695838;-0,05;-0,11997369
-0,441166128;-0,05;-0,118993647
-0,448647679;-0,05;-0,115661871
-0,454689921;-0,05;-0,115655783
-0,458787158;-0,05;-0,116019669
-0,46722706;-0,05;-0,113579425
-0,472948787;-0,05;-0,112435399
-0,477838052;-0,05;-0,111730091
-0,487420919;-0,05;-0,108102324
-0,493972139;-0,05;-0,106388818
-0,499083802;-0,05;-0,105164712
-0,504576977;-0,05;-0,101725064
-0,5097562;-0,05;-0,099832048
-0,511938117;-0,05;-0,099250764
-0,51556946;-0,05;-0,096305877
-0,520363318;-0,05;-0,094177124
-0,522278677;-0,05;-0,091649223
-0,52732602;-0,05;-0,088084861
-0,530009345;-0,05;-0,086565174
-0,53345283;-0,05;-0,08402501
-0,540952869;-0,05;-0,079153199
-0,544848112;-0,05;-0,075669839
-0,548031201;-0,05;-0,073089914
-0,553944448;-0,05;-0,068661819
-0,557004787;-0,05;-0,063396383
-0,559524823;-0,05;-0,060152725
-0,563786469;-0,05;-0,057241839
-0,566208188;-0,05;-0,052055966
-0,567680923;-0,05;-0,048177801
-0,571117038;-0,05;-0,039412223
-0,573063835;-0,05;-0,034598802
-0,575040004;-0,05;-0,030031383
-0,577061642;-0,05;-0,023093973
-0,580103189;-0,05;-0,017719229
-0,581651321;-0,05;-0,013459636
-0,583983432;-0,05;-0,007237429
-0,585018773;-0,05;-0,004611185
-0,587510275;-0,05;-0,001822599
-0,590034067;-0,05;0,003736245
-0,590373792;-0,05;0,007100539
-0,590047054;-0,05;0,011502643
-0,589954435;-0,05;0,016268383
-0,590723714;-0,05;0,019674422
-0,591481696;-0,05;0,023645492
-0,591581472;-0,05;0,029840316
-0,592177999;-0,05;0,033638688
-0,59180738;-0,05;0,037590231
-0,59276978;-0,05;0,045043861
-0,59334378;-0,05;0,050330071
-0,59434258;-0,05;0,054228891
-0,59382508;-0,05;0,062788171
-0,59275318;-0,05;0,068111781
-0,59207718;-0,05;0,072935421
-0,58738048;-0,05;0,087564541
-0,58691868;-0,05;0,092520941
-0,58487268;-0,05;0,099005401
-0,58372858;-0,05;0,104134101
-0,58248608;-0,05;0,108818901
-0,58256998;-0,05;0,114686401
-0,58347118;-0,05;0,121287401
-0,58558268;-0,05;0,123791701
-0,58721338;-0,05;0,126979701
-0,58819978;-0,05;0,132178001
-0,58940098;-0,05;0,134030801
-0,58953648;-0,05;0,135030901
-0,58912398;-0,05;0,136725001
-0,58908788;-0,05;0,136192801
-0,58773408;-0,05;0,136177201
-0,58755158;-0,05;0,134688301
-0,58709618;-0,05;0,134608201
-0,58735558;-0,05;0,133654701
