x,y,z
-0,07904959;-0,05;-0,1451885
-0,08008207;-0,05;-0,142991
-0,08095957;-0,05;-0,1393865
-0,08254012;-0,05;-0,1346798
-0,08301874;-0,05;-0,1310579
-0,08360828;-0,05;-0,1284085
-0,08465134;-0,05;-0,1269545
-0,08563966;-0,05;-0,1253026
-0,08623477;-0,05;-0,1234544
-0,08685584;-0,05;-0,121901
-0,08741361;-0,05;-0,1194129
-0,08809731;-0,05;-0,1179475
-0,08988475;-0,05;-0,1162071
-0,09049688;-0,05;-0,1149588
-0,09137619;-0,05;-0,112184
-0,09225122;-0,05;-0,109729
-0,09242819;-0,05;-0,1076209
-0,09368927;-0,05;-0,105169
-0,09405287;-0,05;-0,1011726
-0,09460344;-0,05;-0,09899387
-0,0946797;-0,05;-0,09632534
-0,0958861;-0,05;-0,09332514
-0,09672352;-0,05;-0,0903286
-0,09716965;-0,05;-0,08761313
-0,09866598;-0,05;-0,08398314
-0,09949968;-0,05;-0,08114614
-0,1002953;-0,05;-0,07829639
-0,1010037;-0,05;-0,07449736
-0,1020039;-0,05;-0,07002636
-0,1027997;-0,05;-0,06662408
-0,1023902;-0,05;-0,06318504
-0,1020404;-0,05;-0,06049041
-0,1018361;-0,05;-0,05827855
-0,1011104;-0,05;-0,055061
-0,1005579;-0,05;-0,05354476
-0,1000058;-0,05;-0,05201833
-0,09971715;-0,05;-0,04930276
-0,09996781;-0,05;-0,04802443
-0,09999598;-0,05;-0,04538509
-0,1000671;-0,05;-0,04261441
-0,1002677;-0,05;-0,04121415
-0,1005125;-0,05;-0,03992961
-0,100565;-0,05;-0,03754922
-0,1004125;-0,05;-0,03602435
-0,1004998;-0,05;-0,03370864
-0,1006213;-0,05;-0,03169995
-0,1012683;-0,05;-0,03103243
-0,1014355;-0,05;-0,02965962
-0,103055;-0,05;-0,02854822
-0,1036318;-0,05;-0,02760318
-0,104892;-0,05;-0,02655768
-0,1068485;-0,05;-0,02511072
-0,1095749;-0,05;-0,02427389
-0,1118037;-0,05;-0,02268343
-0,1153307;-0,05;-0,02031043
-0,1173392;-0,05;-0,01962283
-0,1198853;-0,05;-0,01789062
-0,1235201;-0,05;-0,01626913
-0,1260894;-0,05;-0,01480279
-0,1279972;-0,05;-0,01376106
-0,1308583;-0,05;-0,01214095
-0,1323473;-0,05;-0,01023209
-0,1342496;-0,05;-0,009241049
-0,1376161;-0,05;-0,006324482
-0,1395356;-0,05;-0,005337019
-0,1410332;-0,05;-0,003989423
-0,1430773;-0,05;-0,001890786
-0,1447701;-0,05;0,0002893303
-0,1466895;-0,05;0,002964403
-0,1504596;-0,05;0,00517196
-0,1521301;-0,05;0,007290494
-0,1534125;-0,05;0,009548046
-0,156357;-0,05;0,01004101
-0,1585246;-0,05;0,0131018
-0,1603944;-0,05;0,01406202
-0,1640555;-0,05;0,01631391
-0,1658245;-0,05;0,01756155
-0,1674414;-0,05;0,01841358
-0,1701498;-0,05;0,02018458
-0,1710175;-0,05;0,02213684
-0,1722502;-0,05;0,02294478
-0,1738344;-0,05;0,02493338
-0,1748116;-0,05;0,02501846
-0,1761164;-0,05;0,02520964
-0,1777615;-0,05;0,02727089
-0,1782179;-0,05;0,02962785
-0,1794545;-0,05;0,03034897
-0,1803944;-0,05;0,03222346
-0,1808814;-0,05;0,03451461
-0,1813633;-0,05;0,03531462
-0,1828108;-0,05;0,03645319
-0,1836775;-0,05;0,03975913
-0,1844763;-0,05;0,04078281
-0,1851337;-0,05;0,04357885
-0,1855433;-0,05;0,04605731
-0,1866832;-0,05;0,04692914
-0,1892459;-0,05;0,05029955
-0,1896456;-0,05;0,05271909
-0,1906364;-0,05;0,05401895
-0,1918771;-0,05;0,05689769
-0,1924713;-0,05;0,05836452
-0,1940009;-0,05;0,06161375
-0,1948631;-0,05;0,06581616
-0,1952798;-0,05;0,06789041
-0,1958727;-0,05;0,06961847
-0,1968711;-0,05;0,07328098
-0,1970415;-0,05;0,07506359
-0,1975377;-0,05;0,07800416
-0,199339;-0,05;0,08003952
-0,2003349;-0,05;0,08231143
-0,2011962;-0,05;0,08514361
-0,2029742;-0,05;0,0882539
-0,2044923;-0,05;0,09103026
-0,2048954;-0,05;0,09302814
-0,2063842;-0,05;0,09573868
-0,2075613;-0,05;0,09728734
-0,2096526;-0,05;0,0989927
-0,2117524;-0,05;0,1028773
-0,2140949;-0,05;0,1047683
-0,2158494;-0,05;0,1063043
-0,2195161;-0,05;0,1068694
-0,2219305;-0,05;0,1096234
-0,2244357;-0,05;0,1108108
-0,2291353;-0,05;0,1123658
-0,2312529;-0,05;0,1127038
-0,2334472;-0,05;0,1128149
-0,2366071;-0,05;0,1139423
-0,2375516;-0,05;0,114013
-0,2390673;-0,05;0,1142711
-0,2414999;-0,05;0,1147685
-0,2439474;-0,05;0,1143623
-0,2463174;-0,05;0,1140114
-0,2506453;-0,05;0,1148723
-0,2526236;-0,05;0,1149038
-0,2546637;-0,05;0,1156143
-0,2582897;-0,05;0,1137566
-0,2608545;-0,05;0,1140646
-0,2632632;-0,05;0,1138131
-0,2657599;-0,05;0,1151406
-0,2671334;-0,05;0,1150365
-0,2680208;-0,05;0,1161905
-0,2702543;-0,05;0,1199553
-0,2718474;-0,05;0,1218251
-0,2733344;-0,05;0,1221441
-0,276278;-0,05;0,1249503
-0,2783159;-0,05;0,1256611
-0,2809478;-0,05;0,1282018
-0,2854595;-0,05;0,1293104
-0,2886036;-0,05;0,1306505
-0,2920015;-0,05;0,1322054
-0,298729;-0,05;0,1338041
-0,302595;-0,05;0,1348744
-0,3059698;-0,05;0,1355892
-0,3103343;-0,05;0,1355299
-0,3126878;-0,05;0,136216
-0,3160861;-0,05;0,1370604
-0,3211179;-0,05;0,1373682
-0,3236784;-0,05;0,1377858
-0,3260981;-0,05;0,1385064
-0,3301673;-0,05;0,1393557
-0,333375;-0,05;0,1399468
-0,3360426;-0,05;0,1409285
-0,340545;-0,05;0,1415677
-0,3429132;-0,05;0,1417393
-0,3448445;-0,05;0,1428329
-0,3493671;-0,05;0,1422304
-0,3521656;-0,05;0,1438242
-0,3554728;-0,05;0,1436405
-0,3604293;-0,05;0,1444502
