X;Y;Z
0,08509941;-0,05;0,05670618
0,07720721;-0,05;0,05898239
0,07119915;-0,05;0,05841065
0,06705446;-0,05;0,05976557
0,05964015;-0,05;0,06101286
0,05351201;-0,05;0,06290907
0,04748046;-0,05;0,06356393
0,03849174;-0,05;0,06352263
0,03228117;-0,05;0,0634734
0,02605044;-0,05;0,06296265
0,01647566;-0,05;0,06063729
0,01080004;-0,05;0,05926038
0,005859379;-0,05;0,05605282
-0,003010849;-0,05;0,05197344
-0,006760834;-0,05;0,04975349
-0,01322544;-0,05;0,04406793
-0,0177611;-0,05;0,03959145
-0,0207793;-0,05;0,03561351
-0,02245627;-0,05;0,03325722
-0,02455569;-0,05;0,02705853
-0,02536109;-0,05;0,0227719
-0,02620617;-0,05;0,01776852
-0,02777188;-0,05;0,01155229
-0,02888173;-0,05;0,009870501
-0,02976145;-0,05;0,00470183
-0,0317237;-0,05;-0,001051843
-0,03359036;-0,05;-0,004564029
-0,03543979;-0,05;-0,007469518
-0,03776689;-0,05;-0,01184386
-0,03965972;-0,05;-0,013565
-0,04116356;-0,05;-0,01688572
-0,04620711;-0,05;-0,01932289
-0,04943753;-0,05;-0,02051444
-0,05322433;-0,05;-0,0194534
-0,05850609;-0,05;-0,02040621
-0,06155507;-0,05;-0,01979604
-0,06566747;-0,05;-0,01913248
-0,07084942;-0,05;-0,01875033
-0,07471792;-0,05;-0,01871288
-0,07925205;-0,05;-0,01482021
-0,08535139;-0,05;-0,01327588
-0,08997887;-0,05;-0,01097171
-0,09388253;-0,05;-0,009373618
-0,1023234;-0,05;-0,00748725
-0,1070353;-0,05;-0,006575352
-0,1110839;-0,05;-0,005824124
-0,1191288;-0,05;-0,001059461
-0,1236034;-0,05;-0,0007146019
-0,1288408;-0,05;0,00129799
-0,1380036;-0,05;0,004940094
-0,1413793;-0,05;0,006784474
-0,1473535;-0,05;0,008098248
-0,1536615;-0,05;0,009380152
-0,157278;-0,05;0,01029867
-0,1608448;-0,05;0,01157565
-0,1677337;-0,05;0,01403434
-0,172268;-0,05;0,01386821
-0,1772605;-0,05;0,01498953
-0,1853345;-0,05;0,01625723
-0,1894377;-0,05;0,01674322
-0,1933461;-0,05;0,01650013
-0,2016534;-0,05;0,01446553
-0,2071279;-0,05;0,01385721
-0,2143752;-0,05;0,01485341
-0,2234195;-0,05;0,01165907
-0,2295889;-0,05;0,01048527
-0,234681;-0,05;0,01152406
-0,2436353;-0,05;0,01189511
-0,2476108;-0,05;0,01231365
-0,2513074;-0,05;0,01198069
-0,257288;-0,05;0,01404597
-0,2613412;-0,05;0,01391415
-0,2659604;-0,05;0,0154211
-0,2728624;-0,05;0,01783557
-0,278889;-0,05;0,01972697
-0,2826803;-0,05;0,0205932
-0,2910397;-0,05;0,02239338
-0,2963366;-0,05;0,02457611
-0,3022781;-0,05;0,02465046
-0,312951;-0,05;0,0283071
-0,3183903;-0,05;0,02987799
-0,3245175;-0,05;0,03168605
-0,3347981;-0,05;0,0328229
-0,3405336;-0,05;0,03384511
-0,3464817;-0,05;0,03525979
-0,3558305;-0,05;0,03373358
-0,3590222;-0,05;0,03098022
-0,3640954;-0,05;0,03028801
-0,3700043;-0,05;0,02951543
-0,3734735;-0,05;0,02808954
-0,3759969;-0,05;0,02701205
-0,3818141;-0,05;0,02496979
-0,3847318;-0,05;0,02394529
-0,3885954;-0,05;0,02355253
-0,3945374;-0,05;0,02317632
-0,3992698;-0,05;0,02523471
-0,4025665;-0,05;0,02690813
-0,40978;-0,05;0,03063659
-0,4133603;-0,05;0,03253099
-0,4175361;-0,05;0,03482002
-0,4253025;-0,05;0,03907071
-0,4297489;-0,05;0,04172226
