X,Y,Z
-0,01957521;-0,5023357;-0,2291412
-0,01957521;-0,5023357;-0,2291412
-0,0196739;-0,5094026;-0,2374161
-0,0196739;-0,5094026;-0,2374161
-0,0196739;-0,5094026;-0,2374161
-0,0196739;-0,5094026;-0,2374161
-0,01977253;-0,5164728;-0,2456879
-0,01977253;-0,5164728;-0,2456879
-0,01977253;-0,5164728;-0,2456879
-0,01987114;-0,5235464;-0,2539566
-0,01987114;-0,5235464;-0,2539566
-0,01987114;-0,5235464;-0,2539566
-0,01996973;-0,5306234;-0,2622223
-0,01996973;-0,5306234;-0,2622223
-0,01984117;-0,5320035;-0,2514435
-0,01993973;-0,5390839;-0,2597061
-0,01937597;-0,4980351;-0,208931
-0,01984577;-0,5322424;-0,2512436
-0,01984577;-0,5322424;-0,2512436
-0,01994426;-0,5393261;-0,2595032
-0,01994426;-0,5393261;-0,2595032
-0,01994426;-0,5393261;-0,2595032
-0,0199142;-0,547789;-0,2569809
-0,0199142;-0,547789;-0,2569809
-0,0199142;-0,547789;-0,2569809
-0,01935072;-0,5067196;-0,2062241
-0,0199187;-0,5480346;-0,2567764
-0,0199187;-0,5480346;-0,2567764
-0,02001712;-0,5551284;-0,2650284
-0,02001712;-0,5551284;-0,2650284
-0,01945379;-0,5140378;-0,2142899
-0,01992323;-0,5482799;-0,256572
-0,01989303;-0,5567485;-0,2540405
-0,01989303;-0,5567485;-0,2540405
-0,01989303;-0,5567485;-0,2540405
-0,01999137;-0,5638491;-0,2622864
-0,01999137;-0,5638491;-0,2622864
-0,01942818;-0,5227385;-0,2115662
-0,01989751;-0,5569973;-0,253833
-0,01989751;-0,5569973;-0,253833
-0,01989751;-0,5569973;-0,253833
-0,01986723;-0,5654683;-0,2512955
-0,01986723;-0,5654683;-0,2512955
-0,01930432;-0,5243365;-0,2005936
-0,01977341;-0,5586129;-0,2428452
-0,01977341;-0,5586129;-0,2428452
-0,01977341;-0,5586129;-0,2428452
-0,01987169;-0,5657202;-0,2510849
-0,01987169;-0,5657202;-0,2510849
-0,01987169;-0,5657202;-0,2510849
-0,01930892;-0,5245678;-0,2003922
-0,01977789;-0,5588614;-0,2426361
-0,01977789;-0,5588614;-0,2426361
-0,01977789;-0,5588614;-0,2426361
-0,01977789;-0,5588614;-0,2426361
-0,0193135;-0,524799;-0,2002075
-0,01978235;-0,5591099;-0,2424286
-0,01921988;-0,5179163;-0,1917725
-0,01968861;-0,5522443;-0,2339859
-0,01978681;-0,5593583;-0,2422196
-0,01978681;-0,5593583;-0,2422196
-0,01978681;-0,5593583;-0,2422196
-0,01978681;-0,5593583;-0,2422196
-0,01922462;-0,5181436;-0,1915817
-0,01969311;-0,5524892;-0,2337799
-0,01969311;-0,5524892;-0,2337799
-0,01969311;-0,5524892;-0,2337799
-0,01969311;-0,5524892;-0,2337799
-0,01969311;-0,5524892;-0,2337799
-0,01922922;-0,5183719;-0,1913925
-0,0196976;-0,5527342;-0,2335754
-0,0196976;-0,5527342;-0,2335754
-0,0196976;-0,5527342;-0,2335754
-0,0196976;-0,5527342;-0,2335754
-0,0196976;-0,5527342;-0,2335754
-0,0196976;-0,5527342;-0,2335754
-0,0196976;-0,5527342;-0,2335754
-0,01913583;-0,5114788;-0,1829651
-0,01960397;-0,5458583;-0,2251404
-0,01960397;-0,5458583;-0,2251404
-0,01960397;-0,5458583;-0,2251404
-0,01960397;-0,5458583;-0,2251404
-0,01960397;-0,5458583;-0,2251404
-0,01960397;-0,5458583;-0,2251404
