Numero du participant;Numero d'essaie;Condition;Position X;Position Y;Position Z;Cible touché;temps
1;1;b;0,2350218;-0,05;0,05859115;0;34,19324
1;1;b;0,2343485;-0,05;0,05876407;0;34,20938
1;1;b;0,2325497;-0,05;0,06031436;0;34,2249
1;1;b;0,2296578;-0,05;0,06532563;0;34,25234
1;1;b;0,2274982;-0,05;0,06689207;0;34,26789
1;1;b;0,2268213;-0,05;0,06618518;0;34,2849
1;1;b;0,2234048;-0,05;0,06868158;0;34,31264
1;1;b;0,2215505;-0,05;0,07044273;0;34,32942
1;1;b;0,2209038;-0,05;0,07045558;0;34,34495
1;1;b;0,2184414;-0,05;0,07277333;0;34,37315
1;1;b;0,2181184;-0,05;0,07406227;0;34,38981
1;1;b;0,2162462;-0,05;0,07703444;0;34,40733
1;1;b;0,2157877;-0,05;0,0778682;0;34,43685
1;1;b;0,2147035;-0,05;0,07930753;0;34,45292
1;1;b;0,2142389;-0,05;0,07988551;0;34,46914
1;1;b;0,212697;-0,05;0,08174512;0;34,49187
1;1;b;0,2126;-0,05;0,08224639;0;34,50821
1;1;b;0,2114669;-0,05;0,08360441;0;34,52517
1;1;b;0,2106525;-0,05;0,08547676;0;34,55381
1;1;b;0,2103049;-0,05;0,08565236;0;34,56992
1;1;b;0,2102281;-0,05;0,08590238;0;34,58659
1;1;b;0,2094708;-0,05;0,08755322;0;34,61511
1;1;b;0,2087304;-0,05;0,0889932;0;34,63048
1;1;b;0,2085618;-0,05;0,08973195;0;34,64854
1;1;b;0,2083227;-0,05;0,09061921;0;34,67826
1;1;b;0,2082816;-0,05;0,09079219;0;34,69392
1;1;b;0,2076692;-0,05;0,0928165;0;34,71107
1;1;b;0,2072837;-0,05;0,09306239;0;34,73984
1;1;b;0,2069231;-0,05;0,09420572;0;34,75687
1;1;b;0,2067625;-0,05;0,09478568;0;34,77289
1;1;b;0,2067365;-0,05;0,09503658;0;34,79316
1;1;b;0,2067231;-0,05;0,09521671;0;34,80933
1;1;b;0,206221;-0,05;0,09700409;0;34,82696
1;1;b;0,2062137;-0,05;0,09718736;0;34,85516
1;1;b;0,2055618;-0,05;0,09822074;0;34,8709
1;1;b;0,2054501;-0,05;0,09864925;0;34,88892
1;1;b;0,2049589;-0,05;0,09921183;0;34,91823
1;1;b;0,2049268;-0,05;0,09946054;0;34,9359
1;1;b;0,2042443;-0,05;0,1007452;0;34,95401
1;1;b;0,2037088;-0,05;0,1014989;0;34,98309
1;1;b;0,2034383;-0,05;0,1014245;0;35,00081
1;1;b;0,203076;-0,05;0,1027424;0;35,01699
1;1;b;0,2030288;-0,05;0,1029142;0;35,04736
1;1;b;0,2025123;-0,05;0,1034733;0;35,06438
1;1;b;0,2021769;-0,05;0,1036395;0;35,08092
1;1;b;0,2018222;-0,05;0,104775;0;35,10006
1;1;b;0,2014465;-0,05;0,1051167;0;35,11756
1;1;b;0,200701;-0,05;0,1064946;0;35,13429
1;1;b;0,2000938;-0,05;0,1064991;0;35,162
1;1;b;0,1989445;-0,05;0,1071475;0;35,17804
1;1;b;0,1986297;-0,05;0,1072475;0;35,19464
1;1;b;0,1965269;-0,05;0,1102246;0;35,22482
1;1;b;0,1956036;-0,05;0,1113996;0;35,24136
1;1;b;0,1946864;-0,05;0,1125617;0;35,25883
1;1;b;0,1922751;-0,05;0,1143972;0;35,28963
1;1;b;0,191448;-0,05;0,115386;0;35,30569
1;1;b;0,1896163;-0,05;0,1176433;0;35,32271
1;1;b;0,1879437;-0,05;0,1173228;0;35,35368
1;1;b;0,1858875;-0,05;0,1180476;0;35,37147
1;1;b;0,1856129;-0,05;0,1181643;0;35,38904
1;1;b;0,1823606;-0,05;0,1198702;0;35,40876
1;1;b;0,1816678;-0,05;0,120721;0;35,42479
1;1;b;0,1792711;-0,05;0,1216366;0;35,44087
1;1;b;0,1777838;-0,05;0,1220253;0;35,47066
1;1;b;0,1762648;-0,05;0,1221154;0;35,48729
1;1;b;0,1759895;-0,05;0,1222527;0;35,5048
1;1;b;0,1717922;-0,05;0,1219222;0;35,53478
1;1;b;0,1700238;-0,05;0,1217976;0;35,55283
1;1;b;0,1695185;-0,05;0,1217139;0;35,57185
1;1;b;0,1677702;-0,05;0,1215116;0;35,60035
1;1;b;0,1675476;-0,05;0,1214646;0;35,61737
1;1;b;0,1660959;-0,05;0,1211465;0;35,63438
1;1;b;0,1653481;-0,05;0,1207942;0;35,66487
1;1;b;0,1651189;-0,05;0,1207456;0;35,68238
1;1;b;0,1648286;-0,05;0,1206807;0;35,69909
1;1;b;0,1642987;-0,05;0,1205802;0;35,7187
1;1;b;0,1640358;-0,05;0,1205224;0;35,73663
1;1;b;0,1631459;-0,05;0,1203206;0;35,75415
1;1;b;0,1623293;-0,05;0,1201423;0;35,78371
