x,y,z
0,07585197;-0,05;-0,08540403
0,07392191;-0,05;-0,08544642
0,07085682;-0,05;-0,08567604
0,06970904;-0,05;-0,08591859
0,06817448;-0,05;-0,08610492
0,0650911;-0,05;-0,08690135
0,06353777;-0,05;-0,08714513
0,06160681;-0,05;-0,08739838
0,05965437;-0,05;-0,08779622
0,05771694;-0,05;-0,08825421
0,05616063;-0,05;-0,08886311
0,0530475;-0,05;-0,08970642
0,05148643;-0,05;-0,09008303
0,04955605;-0,05;-0,09067
0,04642767;-0,05;-0,09185441
0,0448767;-0,05;-0,09221286
0,04253257;-0,05;-0,09219038
0,03826919;-0,05;-0,09234201
0,03475359;-0,05;-0,09288897
0,03202358;-0,05;-0,09282988
0,02616989;-0,05;-0,09307434
0,02422006;-0,05;-0,09317875
0,02225354;-0,05;-0,09328529
0,01911467;-0,05;-0,09342705
0,01716499;-0,05;-0,0933774
0,01482091;-0,05;-0,09350346
0,01126528;-0,05;-0,09391157
0,008519605;-0,05;-0,09417108
0,006176062;-0,05;-0,09427472
0,001089625;-0,05;-0,09433105
-0,002065249;-0,05;-0,09432513
-0,004828278;-0,05;-0,09440069
-0,00880057;-0,05;-0,09463592
-0,01037822;-0,05;-0,09469732
-0,01158636;-0,05;-0,09500758
-0,01326471;-0,05;-0,09655808
-0,01413686;-0,05;-0,09748948
-0,01456533;-0,05;-0,09806526
-0,01545141;-0,05;-0,09921426
-0,01588153;-0,05;-0,09977576
-0,01671023;-0,05;-0,1002413
-0,01955993;-0,05;-0,1012532
-0,02079212;-0,05;-0,1019134
-0,02203626;-0,05;-0,1025068
-0,02383117;-0,05;-0,1050383
-0,0243316;-0,05;-0,1061992
-0,0248236;-0,05;-0,1074171
-0,02543238;-0,05;-0,1096562
-0,02558007;-0,05;-0,1112702
-0,02573841;-0,05;-0,1129461
-0,02594964;-0,05;-0,1151487
-0,02603516;-0,05;-0,1162278
-0,02615829;-0,05;-0,1175428
-0,02632273;-0,05;-0,1193777
-0,02656218;-0,05;-0,1220753
-0,02665495;-0,05;-0,1230208
-0,02592022;-0,05;-0,1239665
-0,02603446;-0,05;-0,1256305
-0,02536153;-0,05;-0,1274341
-0,02359863;-0,05;-0,1303152
-0,02303094;-0,05;-0,1333036
-0,02156791;-0,05;-0,1352793
-0,01930526;-0,05;-0,1377112
-0,01732603;-0,05;-0,1387703
-0,01610542;-0,05;-0,1391098
-0,01363825;-0,05;-0,1392626
-0,01201885;-0,05;-0,1395753
-0,01040935;-0,05;-0,13968
-0,006795038;-0,05;-0,1409405
-0,005584765;-0,05;-0,1415767
-0,004788507;-0,05;-0,1418431
-0,003211807;-0,05;-0,1431977
-0,002016392;-0,05;-0,1436287
1,751259E-05;-0,05;-0,1438759
0,002464376;-0,05;-0,1439882
0,003695812;-0,05;-0,1440389
0,004099529;-0,05;-0,1444093
0,004919875;-0,05;-0,1452011
0,005324151;-0,05;-0,1455575
0,005730141;-0,05;-0,1455799
0,006135292;-0,05;-0,1459489
0,006541438;-0,05;-0,145971
0,006953601;-0,05;-0,1461988
0,008570708;-0,05;-0,1466901
0,008970898;-0,05;-0,146852
0,0097747;-0,05;-0,1471056
0,01140883;-0,05;-0,1477255
0,01181067;-0,05;-0,1482189
0,0126163;-0,05;-0,1487452
0,01336042;-0,05;-0,1510019
0,01416536;-0,05;-0,1517354
0,01416556;-0,05;-0,1519961
0,01490883;-0,05;-0,1544665
0,01488046;-0,05;-0,1550946
0,01478693;-0,05;-0,1575389
0,01517291;-0,05;-0,1583062
0,01511554;-0,05;-0,159683
0,01550561;-0,05;-0,160793
0,0158479;-0,05;-0,1621105
0,01578901;-0,05;-0,1637013
0,01620712;-0,05;-0,1641157
0,0161319;-0,05;-0,1660277
0,01688324;-0,05;-0,1683252
0,01688133;-0,05;-0,1687713
0,01719081;-0,05;-0,1711723
0,01721276;-0,05;-0,171565
0,01710071;-0,05;-0,1735287
0,01790361;-0,05;-0,1756547
0,01789403;-0,05;-0,1759096
0,01825887;-0,05;-0,1774749
0,01814974;-0,05;-0,1805
0,01854512;-0,05;-0,1811073
0,01847419;-0,05;-0,1830389
0,01885787;-0,05;-0,1849429
0,01883767;-0,05;-0,1855279
0,01910779;-0,05;-0,1888666
0,02159799;-0,05;-0,1918731
0,02281244;-0,05;-0,1939515
0,02406985;-0,05;-0,1954407
0,02662336;-0,05;-0,1969347
0,02874105;-0,05;-0,1990909
0,03005382;-0,05;-0,1994307
