x,y,z
-0,0645212;-0,05;0,06611446
-0,06259636;-0,05;0,06611187
-0,06128253;-0,05;0,06612822
-0,058353;-0,05;0,0661802
-0,05703648;-0,05;0,06621578
-0,05541054;-0,05;0,06623771
-0,05278526;-0,05;0,06629156
-0,05148277;-0,05;0,0663177
-0,05017583;-0,05;0,06634686
-0,04724956;-0,05;0,06642726
-0,0456192;-0,05;0,0660514
-0,04399218;-0,05;0,06585785
-0,0417138;-0,05;0,06543413
-0,04007655;-0,05;0,06505866
-0,0381313;-0,05;0,06470083
-0,03645399;-0,05;0,0637456
-0,03545867;-0,05;0,06311667
-0,0344698;-0,05;0,06272669
-0,03148583;-0,05;0,06144831
-0,02981736;-0,05;0,06068037
-0,02878075;-0,05;0,05982089
-0,02772287;-0,05;0,05874334
-0,0273768;-0,05;0,05826044
-0,02700923;-0,05;0,05767833
-0,02562499;-0,05;0,05615839
-0,02490028;-0,05;0,05485999
-0,02418448;-0,05;0,05379938
-0,02278572;-0,05;0,05212239
-0,0220702;-0,05;0,05124273
-0,02067505;-0,05;0,04980781
-0,01860595;-0,05;0,04810481
-0,0178607;-0,05;0,04656744
-0,0171067;-0,05;0,04537352
-0,01703032;-0,05;0,0440162
-0,01692951;-0,05;0,04252596
-0,01651441;-0,05;0,04139357
-0,01643953;-0,05;0,04014508
-0,01607551;-0,05;0,03950871
-0,01596391;-0,05;0,03768955
-0,01555945;-0,05;0,03647391
-0,01549013;-0,05;0,03533264
-0,01509691;-0,05;0,03453218
-0,01505309;-0,05;0,03388188
-0,01502897;-0,05;0,03347544
-0,01467118;-0,05;0,03282503
-0,01458569;-0,05;0,03142265
-0,01449594;-0,05;0,02997046
-0,01373944;-0,05;0,02877615
-0,01370184;-0,05;0,02788864
-0,01332271;-0,05;0,02684748
-0,01256252;-0,05;0,0257481
-0,01105543;-0,05;0,02352221
-0,01068346;-0,05;0,02297822
-0,009939909;-0,05;0,02220858
-0,009492595;-0,05;0,02083376
-0,008741483;-0,05;0,01999604
-0,00800772;-0,05;0,01914041
-0,00481813;-0,05;0,01800263
-0,003389038;-0,05;0,01729901
-0,001586813;-0,05;0,016613
0,001626208;-0,05;0,0155904
0,003758688;-0,05;0,01494679
0,005551588;-0,05;0,0144587
0,008364309;-0,05;0,0141408
0,01149202;-0,05;0,01376545
0,01390317;-0,05;0,01357425
0,0171281;-0,05;0,01257834
0,01923945;-0,05;0,01219848
0,02114899;-0,05;0,01103528
0,02506113;-0,05;0,01062794
0,02730818;-0,05;0,00927188
0,029517;-0,05;0,00852751
0,03388722;-0,05;0,007409632
0,03657045;-0,05;0,005548029
0,0395256;-0,05;0,004693082
0,04340811;-0,05;0,001954004
0,04537672;-0,05;0,0007432159
0,04762283;-0,05;6,566755E-05
0,05122256;-0,05;-0,002862472
0,05387815;-0,05;-0,00394175
0,05586364;-0,05;-0,005360379
0,05833267;-0,05;-0,007343048
0,05924859;-0,05;-0,00865949
0,06017958;-0,05;-0,009794539
0,06146641;-0,05;-0,01104909
0,06273651;-0,05;-0,01213611
0,06316099;-0,05;-0,01246448
0,0635141;-0,05;-0,01472274
0,06390032;-0,05;-0,01481719
0,06413174;-0,05;-0,01636796
0,06438254;-0,05;-0,01793196
0,06460875;-0,05;-0,01933149
0,06481174;-0,05;-0,02072566
0,06552939;-0,05;-0,02307342
0,06543484;-0,05;-0,02490738
0,06579022;-0,05;-0,02728945
0,06636809;-0,05;-0,02847839
0,06647132;-0,05;-0,03174131
0,06626388;-0,05;-0,03254853
0,06626861;-0,05;-0,03517266
0,06625171;-0,05;-0,03751659
0,06618346;-0,05;-0,03955731
0,0660596;-0,05;-0,0438748
0,06596375;-0,05;-0,04591211
0,06579089;-0,05;-0,04740278
0,06465223;-0,05;-0,05006542
0,0641413;-0,05;-0,0518405
0,06343719;-0,05;-0,05225072
0,06180783;-0,05;-0,05433153
0,0601525;-0,05;-0,05647351
0,0584617;-0,05;-0,05795412
0,05523666;-0,05;-0,05924248
0,05340011;-0,05;-0,05996462
0,05096795;-0,05;-0,06197648
0,04812579;-0,05;-0,06346407
0,04603782;-0,05;-0,0653919
0,04422091;-0,05;-0,06597693
0,04009197;-0,05;-0,0668468
0,03748701;-0,05;-0,06768718
0,03486888;-0,05;-0,06843566
0,03032492;-0,05;-0,06938446
0,02727785;-0,05;-0,06969689
0,02577261;-0,05;-0,07007789
0,02309697;-0,05;-0,07050319
0,02193582;-0,05;-0,07063056
0,02081509;-0,05;-0,07096352
0,01892783;-0,05;-0,07137853
0,01746022;-0,05;-0,07188803
0,01556693;-0,05;-0,07221343
0,01224932;-0,05;-0,07371365
0,01040053;-0,05;-0,074473
0,008922074;-0,05;-0,07536148
0,006321374;-0,05;-0,07677575
0,00561792;-0,05;-0,07766602
0,004105467;-0,05;-0,07822453
0,001083095;-0,05;-0,07919767
-0,0004157871;-0,05;-0,07969376
-0,003462162;-0,05;-0,08028283
-0,006518219;-0,05;-0,08102254
-0,009188008;-0,05;-0,08142181
-0,01108663;-0,05;-0,081927
-0,01490618;-0,05;-0,0826174
-0,01796358;-0,05;-0,0831576
-0,02023451;-0,05;-0,08388491
-0,02405047;-0,05;-0,08427655
-0,02636901;-0,05;-0,08453481
-0,02866836;-0,05;-0,08486318
-0,03291554;-0,05;-0,08503202
-0,03488197;-0,05;-0,08511121
-0,03720799;-0,05;-0,08520057
-0,04107532;-0,05;-0,08532313
-0,04414803;-0,05;-0,08540403
-0,04607809;-0,05;-0,08544642
-0,04914318;-0,05;-0,08567604
-0,05029096;-0,05;-0,08591859
-0,05182552;-0,05;-0,08610492
-0,0549089;-0,05;-0,08690135
-0,05646223;-0,05;-0,08714513
-0,05839319;-0,05;-0,08739838
-0,06034562;-0,05;-0,08779622
-0,06228306;-0,05;-0,08825421
-0,06383937;-0,05;-0,08886311
-0,0669525;-0,05;-0,08970642
-0,06851356;-0,05;-0,09008303
-0,07044395;-0,05;-0,09067
-0,07357233;-0,05;-0,09185441
-0,0751233;-0,05;-0,09221286
-0,07746743;-0,05;-0,09219038
-0,08173081;-0,05;-0,09234201
-0,0852464;-0,05;-0,09288897
-0,08797642;-0,05;-0,09282988
-0,09383011;-0,05;-0,09307434
-0,09577994;-0,05;-0,09317875
-0,09774646;-0,05;-0,09328529
-0,1008853;-0,05;-0,09342705
-0,102835;-0,05;-0,0933774
-0,1051791;-0,05;-0,09350346
-0,1087347;-0,05;-0,09391157
-0,1114804;-0,05;-0,09417108
-0,1138239;-0,05;-0,09427472
-0,1189104;-0,05;-0,09433105
-0,1220652;-0,05;-0,09432513
-0,1248283;-0,05;-0,09440069
-0,1288006;-0,05;-0,09463592
-0,1303782;-0,05;-0,09469732
-0,1315864;-0,05;-0,09500758
-0,1332647;-0,05;-0,09655808
-0,1341369;-0,05;-0,09748948
-0,1345653;-0,05;-0,09806526
-0,1354514;-0,05;-0,09921426
-0,1358815;-0,05;-0,09977576
-0,1367102;-0,05;-0,1002413
-0,1395599;-0,05;-0,1012532
-0,1407921;-0,05;-0,1019134
-0,1420363;-0,05;-0,1025068
-0,1438312;-0,05;-0,1050383
-0,1443316;-0,05;-0,1061992
-0,1448236;-0,05;-0,1074171
-0,1454324;-0,05;-0,1096562
-0,1455801;-0,05;-0,1112702
-0,1457384;-0,05;-0,1129461
-0,1459496;-0,05;-0,1151487
-0,1460352;-0,05;-0,1162278
-0,1461583;-0,05;-0,1175428
-0,1463227;-0,05;-0,1193777
-0,1465622;-0,05;-0,1220753
-0,1466549;-0,05;-0,1230208
-0,1459202;-0,05;-0,1239665
-0,1460345;-0,05;-0,1256305
-0,1453615;-0,05;-0,1274341
-0,1435986;-0,05;-0,1303152
-0,1430309;-0,05;-0,1333036
-0,1415679;-0,05;-0,1352793
-0,1393053;-0,05;-0,1377112
-0,137326;-0,05;-0,1387703
-0,1361054;-0,05;-0,1391098
-0,1336382;-0,05;-0,1392626
-0,1320188;-0,05;-0,1395753
-0,1304093;-0,05;-0,13968
-0,126795;-0,05;-0,1409405
-0,1255848;-0,05;-0,1415767
-0,1247885;-0,05;-0,1418431
-0,1232118;-0,05;-0,1431977
-0,1220164;-0,05;-0,1436287
-0,1199825;-0,05;-0,1438759
-0,1175356;-0,05;-0,1439882
-0,1163042;-0,05;-0,1440389
-0,1159005;-0,05;-0,1444093
-0,1150801;-0,05;-0,1452011
-0,1146758;-0,05;-0,1455575
-0,1142699;-0,05;-0,1455799
-0,1138647;-0,05;-0,1459489
-0,1134586;-0,05;-0,145971
-0,1130464;-0,05;-0,1461988
-0,1114293;-0,05;-0,1466901
-0,1110291;-0,05;-0,146852
-0,1102253;-0,05;-0,1471056
-0,1085912;-0,05;-0,1477255
-0,1081893;-0,05;-0,1482189
-0,1073837;-0,05;-0,1487452
-0,1066396;-0,05;-0,1510019
-0,1058346;-0,05;-0,1517354
-0,1058344;-0,05;-0,1519961
-0,1050912;-0,05;-0,1544665
-0,1051195;-0,05;-0,1550946
-0,1052131;-0,05;-0,1575389
-0,1048271;-0,05;-0,1583062
-0,1048845;-0,05;-0,159683
-0,1044944;-0,05;-0,160793
-0,1041521;-0,05;-0,1621105
-0,104211;-0,05;-0,1637013
-0,1037929;-0,05;-0,1641157
-0,1038681;-0,05;-0,1660277
-0,1031168;-0,05;-0,1683252
-0,1031187;-0,05;-0,1687713
-0,1028092;-0,05;-0,1711723
-0,1027872;-0,05;-0,171565
-0,1028993;-0,05;-0,1735287
-0,1020964;-0,05;-0,1756547
-0,102106;-0,05;-0,1759096
-0,1017411;-0,05;-0,1774749
-0,1018503;-0,05;-0,1805
-0,1014549;-0,05;-0,1811073
-0,1015258;-0,05;-0,1830389
-0,1011421;-0,05;-0,1849429
-0,1011623;-0,05;-0,1855279
