x,y,z
-0,1346781;-0,05;0,07860749
-0,1328057;-0,05;0,07793278
-0,1281398;-0,05;0,07652115
-0,1257074;-0,05;0,07528921
-0,1235038;-0,05;0,0746455
-0,1209372;-0,05;0,0742998
-0,1196863;-0,05;0,07394402
-0,118409;-0,05;0,07376697
-0,1163523;-0,05;0,07218244
-0,1144787;-0,05;0,07159975
-0,1125716;-0,05;0,07115663
-0,1087396;-0,05;0,07064818
-0,1065055;-0,05;0,0703572
-0,1039423;-0,05;0,07003573
-0,1007343;-0,05;0,06964165
-0,09912167;-0,05;0,06946091
-0,09622777;-0,05;0,06911432
-0,09173362;-0,05;0,06860603
-0,08883284;-0,05;0,06831553
-0,08687824;-0,05;0,0681197
-0,08330389;-0,05;0,06779329
-0,08104189;-0,05;0,06758352
-0,07845294;-0,05;0,06734104
-0,07522307;-0,05;0,06705777
-0,07361472;-0,05;0,06691175
-0,07231516;-0,05;0,06681645
-0,06908318;-0,05;0,06655847
-0,06779706;-0,05;0,06645186
-0,0664923;-0,05;0,06636718
-0,06486705;-0,05;0,06624614
-0,06389633;-0,05;0,06618544
-0,06325701;-0,05;0,06612143
-0,06131523;-0,05;0,06600524
-0,05997468;-0,05;0,06669421
-0,05898755;-0,05;0,06663488
-0,05831908;-0,05;0,06660064
-0,05701301;-0,05;0,06651976
-0,05604264;-0,05;0,06646872
-0,05410761;-0,05;0,06634475
-0,05312596;-0,05;0,06630327
-0,05120156;-0,05;0,06618055
-0,0492503;-0,05;0,06607562
-0,04794934;-0,05;0,06602035
-0,04632772;-0,05;0,06593645
-0,04210456;-0,05;0,06592311
-0,03919251;-0,05;0,06580436
-0,03562619;-0,05;0,06567387
-0,03107666;-0,05;0,06554523
-0,02717564;-0,05;0,06563634
-0,02585946;-0,05;0,06560028
-0,02292352;-0,05;0,06608389
-0,0219398;-0,05;0,06606926
-0,0206511;-0,05;0,06623077
-0,01839809;-0,05;0,06619823
-0,01711573;-0,05;0,06617419
-0,01519271;-0,05;0,06615195
-0,0116464;-0,05;0,06611063
-0,009721542;-0,05;0,06609043
-0,00746381;-0,05;0,06609049
-0,004521204;-0,05;0,06611446
-0,00259636;-0,05;0,06611187
-0,001282532;-0,05;0,06612822
0,001647003;-0,05;0,0661802
0,002963521;-0,05;0,06621578
0,004589457;-0,05;0,06623771
0,007214742;-0,05;0,06629156
0,008517222;-0,05;0,0663177
0,009824167;-0,05;0,06634686
0,01275044;-0,05;0,06642726
0,0143808;-0,05;0,0660514
