X;Y;Z
-0,227078;-0,065;0,1319596
-0,2317264;-0,065;0,1335194
-0,2338803;-0,065;0,1338374
-0,2361132;-0,065;0,1339252
-0,2392954;-0,065;0,1350507
-0,2402523;-0,065;0,1350955
-0,2417865;-0,065;0,1353519
-0,2441974;-0,065;0,1358954
-0,2466203;-0,065;0,1354779
-0,2490274;-0,065;0,1351262
-0,2533004;-0,065;0,1359884
-0,2552548;-0,065;0,1360239
-0,257295;-0,065;0,1367345
-0,2609553;-0,065;0,1348393
-0,2634709;-0,065;0,1351876
-0,2658848;-0,065;0,1349355
-0,2683561;-0,065;0,1362994
-0,2697389;-0,065;0,1361587
-0,2706175;-0,065;0,1373362
-0,2728053;-0,065;0,1411245
-0,2744035;-0,065;0,1429754
-0,2759521;-0,065;0,1432564
-0,278817;-0,065;0,1460696
-0,2808613;-0,065;0,1467685
-0,2834744;-0,065;0,1493347
-0,2880248;-0,065;0,1504121
-0,2911325;-0,065;0,1517611
-0,2944869;-0,065;0,1533151
-0,3011978;-0,065;0,154878
-0,3050945;-0,065;0,1559825
-0,3085042;-0,065;0,156679
-0,3129615;-0,065;0,1565873
-0,3153631;-0,065;0,1572962
-0,3187197;-0,065;0,1581636
-0,3237355;-0,065;0,1584422
-0,3262881;-0,065;0,1588693
-0,328706;-0,065;0,1595867
-0,3327892;-0,065;0,1604501
-0,3359863;-0,065;0,161017
-0,3386351;-0,065;0,1620003
-0,3432159;-0,065;0,162629
-0,3455851;-0,065;0,1628027
-0,3474831;-0,065;0,1639072
-0,3520535;-0,065;0,1632597
-0,3547562;-0,065;0,1648738
-0,3580667;-0,065;0,1646636
-0,3629846;-0,065;0,1654906
-0,3667291;-0,065;0,1638752
-0,3708733;-0,065;0,1642247
-0,3751954;-0,065;0,1642872
-0,3766851;-0,065;0,1635727
-0,3785373;-0,065;0,1622141
-0,3810533;-0,065;0,159678
-0,3817153;-0,065;0,1578327
-0,3834302;-0,065;0,1560857
-0,3854252;-0,065;0,1525183
-0,3867345;-0,065;0,150844
-0,3898255;-0,065;0,1466638
-0,3931648;-0,065;0,1434043
-0,3949456;-0,065;0,1409155
-0,3965104;-0,065;0,1388147
-0,3982746;-0,065;0,1370421
-0,3999516;-0,065;0,1347536
-0,4009603;-0,065;0,1329706
-0,4028184;-0,065;0,1303687
-0,4031351;-0,065;0,1291261
-0,4041949;-0,065;0,1265667
-0,404741;-0,065;0,1228425
-0,4053097;-0,065;0,1204453
-0,4059194;-0,065;0,117269
-0,4069287;-0,065;0,1147667
-0,4076611;-0,065;0,1127551
-0,4079427;-0,065;0,1101345
-0,4081801;-0,065;0,1075808
-0,4074752;-0,065;0,1052876
-0,4064938;-0,065;0,1034823
-0,4037504;-0,065;0,1027211
-0,4030721;-0,065;0,1010699
-0,401891;-0,065;0,09961009
-0,4008276;-0,065;0,09645866
-0,4002716;-0,065;0,09528635
-0,3985997;-0,065;0,09545957
-0,3978089;-0,065;0,09249759
-0,3964294;-0,065;0,09212168
-0,3954205;-0,065;0,09029495
-0,3945965;-0,065;0,08810478
-0,3942941;-0,065;0,08641642
-0,3941652;-0,065;0,08438735
-0,3946021;-0,065;0,08049287
-0,3960017;-0,065;0,07548072
-0,3958292;-0,065;0,07271587
